0,1,2
1375,"[0.11877866 0.06197287 0.06613636 0.06933788 0.193093   0.0650984
 0.02668599 0.0126941  0.02275343 0.1262328  0.02117443 0.01182834
 0.09476747 0.00996214 0.02231954 0.02777223 0.02010732 0.0180415
 0.06471367 0.031548   0.02501349 0.0204034  0.02507074 0.06620205
 0.00924732 0.01131783 0.01337093 0.01219941 0.1201943  0.01254059
 0.0765125  0.00791945 0.01001903 0.02945776 0.00899111 0.00334714
 0.00297571 0.01118847 0.00587249 0.00259994 0.01872229 0.01565731
 0.00716967 0.03087695 0.01118261 0.01135376 0.00808361 0.00821495
 0.01245432 0.00168835 0.17103622 0.07716921 0.07448159 0.09671696
 0.10246674 0.0820053  0.03788292 0.01393199 0.03235921 0.10330344
 0.01764743 0.02002055 0.03033663 0.0104113  0.03866582 0.03943522
 0.03619429 0.0181753  0.02988507 0.02282682 0.06615055 0.01827853
 0.01195833 0.05497435 0.02894636 0.02444196 0.0525071  0.01956422
 0.04004692 0.02958619 0.05384614 0.01026296 0.02079819 0.02255236
 0.01668002 0.00458634 0.02244813 0.01012404 0.00507021 0.00397592
 0.01668627 0.01652978 0.00999399 0.02876222 0.02445791 0.01111283
 0.01341972 0.00677673 0.01401926 0.0030837 ]","[3363, 6571, 3982, 3452]"
1379,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.1695163  0.0560681  0.07737211 0.10164104
 0.08094063 0.07567015 0.01844164 0.01435137 0.03495062 0.0549497
 0.02102921 0.02058553 0.02488494 0.01005737 0.03793507 0.02220803
 0.03728066 0.02209591 0.02370263 0.01439981 0.11087112 0.0161697
 0.01115083 0.06796393 0.03184066 0.01712827 0.06907344 0.01811608
 0.06006734 0.05902925 0.05258857 0.00955286 0.03993376 0.04971531
 0.0146971  0.00348872 0.02832522 0.00788962 0.0037427  0.00298355
 0.01041822 0.01508136 0.00966186 0.03285212 0.02147954 0.00762092
 0.01260411 0.00871956 0.01107807 0.00248358]",[]
1380,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.18814873 0.05961615 0.07703227 0.11351552
 0.07981783 0.07090577 0.02347779 0.01446024 0.03352954 0.0956028
 0.01791988 0.03193454 0.02065765 0.0106645  0.04859639 0.03563737
 0.04270638 0.01782399 0.02327166 0.01670944 0.06671798 0.01663964
 0.0098187  0.04534262 0.03258905 0.02425883 0.07974119 0.02340711
 0.02908127 0.03106332 0.04912359 0.00927886 0.02179589 0.0302212
 0.01774929 0.0038442  0.0205371  0.0096026  0.00397917 0.003955
 0.01947841 0.01153443 0.01619224 0.03365921 0.02455628 0.00779514
 0.01646319 0.00706933 0.01006144 0.00332862]",[]
1385,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.1019487  0.07781084 0.0704942  0.09439649
 0.09131814 0.14505415 0.01587235 0.01669736 0.02199147 0.17283469
 0.02705312 0.0232781  0.06187731 0.00827329 0.00918028 0.02997147
 0.02663922 0.02977509 0.02759114 0.00738887 0.06556377 0.01220837
 0.02266006 0.06536028 0.01422806 0.00551118 0.01390656 0.00747182
 0.05502835 0.02989487 0.05619792 0.018127   0.0159354  0.07124456
 0.0050616  0.0030121  0.01113538 0.01197189 0.0064037  0.00228805
 0.00810024 0.00930128 0.00491874 0.01580978 0.0041431  0.02121643
 0.01204709 0.00966975 0.00413025 0.00196553]",[]
1386,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.18412907 0.06821444 0.07534312 0.10325587
 0.08930927 0.06592086 0.03178484 0.01420751 0.0338072  0.07964636
 0.01723669 0.04641304 0.02261263 0.0108562  0.04715755 0.03220521
 0.03892661 0.01717967 0.02664885 0.0200095  0.06444457 0.01970405
 0.00990095 0.04293695 0.0346691  0.02316799 0.06708611 0.02436529
 0.03220461 0.02993333 0.04987059 0.00851435 0.02026545 0.02848664
 0.01916788 0.00419019 0.02445958 0.00942586 0.00455556 0.00380605
 0.01922576 0.01381816 0.02106165 0.03346253 0.02350311 0.01189798
 0.01404354 0.00689006 0.01291631 0.0029415 ]",[]
1387,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.08172236 0.09540108 0.0656225  0.09186486
 0.06423895 0.20704044 0.00545712 0.01465374 0.01428429 0.25501352
 0.03453015 0.0039812  0.0824653  0.00746385 0.00757449 0.03519191
 0.01627089 0.04128371 0.02217915 0.00537439 0.08817058 0.0086472
 0.02904537 0.08766486 0.00272454 0.0067469  0.01593957 0.00242165
 0.06358344 0.04129344 0.03010691 0.02584412 0.02186437 0.00425538
 0.00577902 0.00089004 0.01498009 0.01676674 0.00552018 0.00161279
 0.00597996 0.00380393 0.00153627 0.01663863 0.00426096 0.00859343
 0.01385425 0.01255523 0.00198624 0.00205667]",[]
1397,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.16072158 0.07969138 0.06767641 0.08764081
 0.10817952 0.08035356 0.04021611 0.01371669 0.02888103 0.11069721
 0.01626695 0.01787294 0.03776874 0.01058143 0.03908348 0.04617149
 0.0310802  0.01726017 0.03255668 0.02598054 0.06241048 0.02055234
 0.01343415 0.05336313 0.02189385 0.02343086 0.04571894 0.01828598
 0.03938023 0.02878588 0.04882636 0.01019873 0.01985489 0.03721155
 0.01838526 0.0052058  0.02135526 0.0097943  0.00545498 0.00425586
 0.02399039 0.01539746 0.00919746 0.02632504 0.02505593 0.01195603
 0.01305178 0.00630874 0.01379636 0.00321894]",[]
1398,"[0.25967457 0.06915879 0.0885424  0.13284209 0.05172758 0.07854719
 0.01176653 0.01514361 0.04072415 0.03060142 0.02000395 0.03423158
 0.01912927 0.0104637  0.09258057 0.02769335 0.047303   0.015502
 0.01469609 0.02770613 0.05652368 0.01661385 0.00770597 0.03139673
 0.06435855 0.0288829  0.06463774 0.05420735 0.02933731 0.02325168
 0.06445768 0.00825809 0.01663627 0.00611597 0.02642826 0.00280261
 0.01598837 0.00608462 0.00332281 0.00425019 0.01029682 0.00495088
 0.02968772 0.03915624 0.04269223 0.00318573 0.02293804 0.00746402
 0.00387241 0.00289149 0.17447124 0.07668676 0.07110861 0.10006659
 0.08863231 0.07883947 0.03554274 0.01386714 0.02997514 0.09643012
 0.01795772 0.02212503 0.02684495 0.01100285 0.04571343 0.040604
 0.03483901 0.01854309 0.02594999 0.02214552 0.07262742 0.01808487
 0.0109792  0.04667116 0.02535708 0.02393133 0.06839078 0.02228411
 0.03119087 0.03543508 0.04651392 0.0098909  0.01951993 0.027393
 0.01938491 0.00440047 0.02551806 0.00970686 0.00477544 0.00390316
 0.02074091 0.0149649  0.01290404 0.03168027 0.02443681 0.01136634
 0.01464549 0.00714648 0.01701011 0.00308795]","[416, 2130, 1103, 692, 1887, 3116, 2456, 1061]"
1401,"[0.19311805 0.07305258 0.08010876 0.10621442 0.07985894 0.06168425
 0.02134614 0.01421483 0.03756409 0.07097126 0.01946283 0.03920131
 0.02497989 0.01246239 0.04432862 0.04420261 0.03673197 0.02013754
 0.02282314 0.02560676 0.07187755 0.01898715 0.01120674 0.05003835
 0.03194431 0.02274022 0.05324499 0.03100511 0.0387712  0.04054625
 0.04999409 0.00752404 0.01976484 0.02377865 0.02014173 0.00357678
 0.02587593 0.00959789 0.00435361 0.00376665 0.01934402 0.0123719
 0.02117126 0.03381994 0.0217401  0.00937889 0.01510679 0.00813484
 0.00838393 0.00301053 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]","[3764, 3914, 3963, 4065, 3939, 3968, 3800, 3906, 3993, 4553, 4081, 3723, 4391, 4594, 4597, 4763, 5699, 5195, 5196, 3723, 4391, 4594, 4597, 4763, 5699, 5195, 5196, 5204, 5185, 3939, 3746, 3783, 4641, 5280, 5204, 5185, 3939, 3746, 3783, 4641, 5280, 3864, 3865, 3854, 4026, 6843, 4625, 7056, 3864, 3865, 3854, 4026, 6843, 4625, 7056, 3722, 6875, 3897, 7150, 3820, 4032, 3755, 3722, 6875, 3897, 7150, 3820, 4032, 3755, 3734, 5224, 4074, 3806, 3698, 3734, 5224, 4074, 3806, 3698, 3975, 4546, 4085, 4590, 3167, 3922, 3676, 3975, 4546, 4085, 4590, 3167, 3922, 3676, 3975, 4546, 4085, 4590, 3167, 3922, 3676, 3872, 4601, 3781, 3872, 4601, 3781, 4418, 4420, 4050, 4671, 4451, 4423, 4689, 4418, 4420, 4050, 4671, 4451, 4423, 4689, 4418, 4420, 4050, 4671, 4451, 4423, 4689, 3825, 4550, 4551, 3882, 3885, 4772, 3825, 4550, 4551, 3882, 3885, 4772, 3937, 3938, 3946, 5192, 5184, 5189, 5635, 3937, 3938, 3946, 5192, 5184, 5189, 5635, 5170, 5173, 5240, 5241, 3793, 4535, 5249, 5170, 5173, 5240, 5241, 3793, 4535, 5249, 5256, 4683, 4788, 3956, 3958, 4858, 5229, 5256, 4683, 4788, 3956, 3958, 4858, 5229, 5256, 4683, 4788, 3956, 3958, 4858, 5229, 5256, 4683, 4788, 3956, 3958, 4858, 5229, 5138, 5214, 5776, 5287, 5138, 5214, 5776, 5287, 6805, 5177, 5183, 5186, 6011, 6805, 5177, 5183, 5186, 6011, 5198, 5207, 5273, 5723, 6600, 6834, 5198, 5207, 5273, 5723, 6600, 6834, 7179, 7179]"
1403,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.17710491 0.07343493 0.07244013 0.09888622
 0.08571009 0.07796027 0.03016851 0.01386553 0.03177882 0.09868522
 0.01780205 0.02667189 0.02315312 0.01124905 0.04390389 0.03965877
 0.03464435 0.01842168 0.02472946 0.0197444  0.0728809  0.01848962
 0.01021012 0.04557733 0.02800189 0.02614569 0.07270867 0.02219851
 0.028105   0.03494331 0.04529416 0.01000212 0.02063409 0.0279868
 0.01845159 0.00416554 0.02631425 0.01032852 0.00460355 0.00382396
 0.0198221  0.01515758 0.01464576 0.03217088 0.02509106 0.01076472
 0.01441862 0.00718494 0.01531099 0.00305181]",[]
